id,Moneda,Precio,Dormitorios,Banos,Superficie_m2,Direccion,Comuna
0,UF,2516,2,2,53.0,Bulnes,Santiago
1,UF,2245,2,2,52.0,Dieciocho,Santiago
2,UF,2160,2,2,62.0,Bogotá - Sierra Bella,Santiago
3,UF,3092,1,1,32.0,Santa Isabel,Santiago
4,UF,2630,2,2,63.0,Santa Isabel,Santiago
5,UF,2671,2,2,58.0,Barrio República,Santiago
6,UF,1990,3,2,86.0,Ejército - Toesca,Santiago
7,UF,2390,2,2,62.0,Parque O'Higgins,Santiago
8,UF,2367,3,2,67.0,Santa Isabel,Santiago
9,UF,2557,2,2,50.0,Parque O'Higgins,Santiago
10,UF,2286,2,2,55.0,Centro Histórico De Santiago,Santiago
11,UF,2268,2,2,48.0,Parque Los Reyes,Santiago
12,UF,2290,2,2,52.0,Santa Isabel,Santiago
13,UF,2576,2,2,47.0,San Diego,Santiago
14,UF,1977,2,1,44.0,Barrio República,Santiago
15,UF,2811,2,2,56.0,Bogotá - Sierra Bella,Santiago
16,UF,2125,2,1,51.0,Bogotá - Sierra Bella,Santiago
17,UF,2450,2,2,65.0,Bogotá - Sierra Bella,Santiago
18,UF,2928,2,2,49.0,Barrio República,Santiago
19,UF,2609,2,2,58.0,San Diego,Santiago
20,UF,2860,2,2,50.0,Santa Isabel,Santiago
21,UF,2271,2,2,48.0,Santa Isabel,Santiago
22,UF,1782,2,2,43.0,Barrio República,Santiago
23,UF,2307,2,2,66.0,PROYECTO | Departamentos en venta | Santa Rosa 1350 | UF | 2.307 | 1 a 2 dormitorios | 1 a 2 baños | 19 - 66 m² útiles | Santa Rosa 1350,Santiago
24,UF,2285,2,2,55.0,Barrio República,Santiago
25,UF,3379,2,2,57.0,Centro Histórico De Santiago,Santiago
26,UF,2590,2,2,52.0,Centro Histórico De Santiago,Santiago
27,UF,2437,3,3,74.0,Parque Almagro,Santiago
28,UF,2701,1,1,36.0,Ejército - Toesca,Santiago
29,UF,2154,3,2,66.0,Parque Los Reyes,Santiago
30,UF,3022,2,2,50.0,Bogotá - Sierra Bella,Santiago
31,UF,2400,2,2,48.0,Parque Los Reyes,Santiago
32,UF,2540,2,2,51.0,Barrio Brasil,Santiago
33,UF,2350,2,2,50.0,Santa Isabel,Santiago
34,UF,2727,2,2,53.0,San Joaquín,Santiago
35,UF,3308,2,2,57.0,Franklin - Biobío,Santiago
36,UF,2153,2,2,50.0,Barrio Brasil,Santiago
37,UF,1957,3,2,62.0,Parque Los Reyes,Santiago
38,UF,2118,2,2,51.0,Ejército - Toesca,Santiago
39,UF,2419,2,2,60.0,Barrio República,Santiago
40,UF,2090,2,2,49.0,Bulnes,Santiago
41,UF,2983,2,2,48.0,Barrio Diez De Julio,Santiago
42,UF,2625,2,2,45.0,Santa Isabel,Santiago
43,UF,2415,2,2,65.0,Centro Histórico De Santiago,Santiago
44,UF,2636,2,2,61.0,Parque Los Reyes,Santiago
45,UF,3047,3,3,98.0,Santa Isabel,Santiago
46,UF,2832,2,2,48.0,Santa Isabel,Santiago
47,UF,2841,2,2,58.0,Santa Isabel,Santiago
48,UF,1646,2,2,62.0,Parque O'Higgins,Santiago
49,UF,2722,2,2,50.0,San Diego,Santiago
50,UF,2532,2,2,49.0,Santa Isabel,Santiago
51,UF,2612,2,2,57.0,Parque Almagro,Santiago
52,UF,2290,2,2,52.0,Bogotá - Sierra Bella,Santiago
53,UF,2455,3,2,59.0,Parque O'Higgins,Santiago
54,UF,3137,2,2,46.0,Santa Isabel,Santiago
55,UF,3579,2,2,52.0,Parque Almagro,Santiago
56,UF,1850,2,1,45.0,Parque Los Reyes,Santiago
57,UF,2909,2,2,57.0,Barrio Brasil,Santiago
58,UF,1880,1,1,32.0,Parque O'Higgins,Santiago
59,UF,1990,2,2,51.0,Barrio República,Santiago
60,UF,2601,2,2,53.0,Santa Isabel,Santiago
61,UF,3023,2,2,46.0,Parque O'Higgins,Santiago
62,UF,2700,1,1,49.0,Centro Histórico De Santiago,Santiago
63,UF,2845,2,1,45.0,Barrio Brasil,Santiago
64,UF,2240,2,2,52.0,Barrio Diez De Julio,Santiago
65,UF,4097,2,2,59.0,Bulnes,Santiago
66,UF,13500,5,6,258.0,Centro Histórico De Santiago,Santiago
67,UF,16150,4,4,292.0,Centro Histórico De Santiago,Santiago
68,UF,2870,2,2,60.0,Centro Histórico De Santiago,Santiago
69,UF,3000,3,2,68.0,Departamento en venta | Amplio 3 D En Metro Cal Y Canto | Por Engel & Völkers Ñuñoa | UF | 3.000 | 3 dormitorios | 2 baños | 68 m² útiles | Centro Histórico De Santiago,Santiago
70,$,105000000,2,2,51.0,Centro Histórico De Santiago,Santiago
71,$,150000000,5,2,120.0,Bulnes,Santiago
72,UF,2890,1,1,41.0,Parque Almagro,Santiago
73,UF,3000,1,1,47.0,Centro Histórico De Santiago,Santiago
74,UF,3250,2,2,56.0,Santa Isabel,Santiago
75,UF,2950,3,1,67.0,Barrio República,Santiago
76,UF,2290,1,1,34.0,Barrio Lastarria,Santiago
77,UF,1600,2,1,40.0,Parque Los Reyes,Santiago
78,UF,2000,1,1,31.0,San Diego,Santiago
79,UF,2190,1,1,2.0,Parque Almagro,Santiago
80,UF,8500,3,2,164.0,Centro Histórico De Santiago,Santiago
81,$,47000000,1,1,25.0,Centro Histórico De Santiago,Santiago
82,UF,3250,2,2,49.0,Barrio Brasil,Santiago
83,UF,2500,1,1,43.0,Santa Isabel,Santiago
84,UF,1900,1,1,38.0,Departamento en venta | Venta Departamento Sector Rondizzonni | Por Engel & Völkers Ñuñoa | UF | 1.900 | 1 dormitorio | 1 baño | 38 m² útiles | Parque O'Higgins,Santiago
85,UF,2700,2,1,43.0,Centro Histórico De Santiago,Santiago
86,UF,1890,1,1,30.0,Parque O'Higgins,Santiago
87,UF,4200,3,2,77.0,Departamento en venta | Depto. Vergara 3d / Metro Toesca | Por Engel & Völkers Ñuñoa | UF | 4.200 | 3 dormitorios | 2 baños | 77 m² útiles | Ejército - Toesca,Santiago
88,UF,2490,2,2,50.0,Centro Histórico De Santiago,Santiago
89,UF,2690,2,1,50.0,Santa Isabel,Santiago
90,$,95000000,2,2,55.0,Santa Isabel,Santiago
91,UF,3400,3,2,67.0,Franklin - Biobío,Santiago
92,UF,3050,2,2,56.0,Santa Isabel,Santiago
93,UF,2500,2,1,53.0,Parque Almagro,Santiago
94,UF,3550,2,2,58.0,Santa Isabel,Santiago
95,UF,4350,4,2,137.0,Parque Almagro,Santiago
96,UF,2200,1,1,33.0,Parque Los Reyes,Santiago
97,UF,2100,1,1,42.0,Centro Histórico De Santiago,Santiago
98,UF,1890,1,1,38.0,Centro Histórico De Santiago,Santiago
99,UF,2761,2,2,41.0,Santa Isabel,Santiago
100,UF,1885,1,1,30.0,San Diego,Santiago
101,UF,2740,2,2,50.0,Centro Histórico De Santiago,Santiago
102,UF,1980,2,1,37.0,Parque O'Higgins,Santiago
103,UF,3990,2,2,53.0,Franklin - Biobío,Santiago
104,UF,1178,1,1,20.0,Parque O'Higgins,Santiago
105,$,78000000,2,2,58.0,Parque Los Reyes,Santiago
106,UF,2800,1,1,51.0,Centro Histórico De Santiago,Santiago
107,UF,2350,1,1,38.0,Barrio Diez De Julio,Santiago
108,UF,3100,1,1,31.0,Santa Isabel,Santiago
109,UF,1850,1,1,33.0,Centro Histórico De Santiago,Santiago
110,UF,2950,3,2,75.0,Centro Histórico De Santiago,Santiago
111,$,125000000,4,2,89.0,Barrio Brasil,Santiago
112,UF,2640,2,2,45.0,Bulnes,Santiago
113,UF,1850,1,1,30.0,Santa Isabel,Santiago
114,UF,3950,2,2,61.0,Bogotá - Sierra Bella,Santiago
115,UF,1790,1,1,37.0,Ejército - Toesca,Santiago
116,UF,2900,2,1,48.0,Santa Isabel,Santiago
117,$,122000000,3,2,87.0,Centro Histórico De Santiago,Santiago
118,UF,2980,2,2,61.0,Centro Histórico De Santiago,Santiago
119,UF,3600,3,2,64.0,Santa Isabel,Santiago
120,UF,2150,1,1,33.0,Bogotá - Sierra Bella,Santiago
121,UF,2950,1,1,38.0,Barrio Lastarria,Santiago
122,UF,2810,2,2,48.0,Santia... | UF | 2.810 | 2 dormitorios | 2 baños | 48 m² útiles | Bulnes,Santiago
123,UF,15188,6,7,354.0,Barrio Lastarria,Santiago
124,UF,1950,1,1,31.0,Santa Isabel,Santiago
125,UF,1700,1,1,37.0,San Diego,Santiago
